,Unnamed: 0,ID,Timestamp,Text,Class
0,1143,835999046204551168,2017-02-26 23:44:39,my mom could have worked while dying from stage 4 breast cancer & paid for tx out of pocket?,0
2,1981,839261636275933184,2017-03-07 23:49:01,new drug 4 breast cancer is $10k per month. Can we ALL afford spending that much on 1  while others have 0,0
5,1153,853032936324464640,2017-04-14 23:51:15,When people who don't know me try to educate me on what a breast cancer patient goes through...,1
7,1154,859919598904254464,2017-05-03 23:56:23,This 11 year breast cancer survivor needs healthcare!  Medicare for all!,0
9,1159,861368530817732608,2017-05-07 23:53:55,"@KellyMazeski Fellow breast cancer survivor here just donated to your campaign! Born & raised in IL, now live in NY. Pulling for you!!",0
11,1166,870424594452185088,2017-06-01 23:39:29,@therealroseanne Ms Barr I am onq (Oahu) w my grandkids celebrating 10 yrs breast cancer survivorship. Any way I could meet you? God bless!!,0
13,2010,919350440927678464,2017-10-14 23:53:20,From now on I'm gonna refer to my having breast cancer as Boob Crab.,0
15,1187,933839681824927744,2017-11-23 23:28:24,The ACA saved this breast cancer survivor from bankruptcy and worse! Americans love Obamacare and if you quit trying to sabotage it premiums might come down. #SaveACA,0
17,1197,950878429133631488,2018-01-09 23:54:18,"I had the TriSprintec pill and I was getting really bad migraines on that one. I have a friend who developed blood clots on it. They put me on TriCyclen Lo recently. Now I’m seeing increased risk of stroke, blood clots and cancer (especially breast cancer) in the long run ",0
19,1207,958487208163528704,2018-01-30 23:48:52,"me getting breast cancer is more likely to happen than me suddenly having like $6,000 to get this surgery",0
21,1215,988565743380844544,2018-04-23 23:50:14,Being a breast cancer survivor rocks @mandy_ccab pic.twitter.com/LZXjBmeu07,1
23,1216,988566054879334400,2018-04-23 23:51:28,"Six....six people I know... friends..who are currently battling breast cancer, not including myself. More than I know who had the flu this season! How is this possible? #breastcancer #breastcancerawareness #cancer",0
25,2019,1010672745439531008,2018-06-23 23:55:34,@shaina_mc a triple negative breast cancer survivor of 5 yrs thanks to @MayoClinic in Jacksonville find it so early!! Good for you becoming a nurse practitioner,0
27,3226,1030239631575405056,2018-08-16 23:47:23,"I'm scared. Don't wanna tell my family.

I lost one of my best friends to breast cancer in 2009. She had to young boys. I was devastated.

I had a mammogram Tuesday. They left a VM today for a follow-up x-ray and some other test..",1
29,12,1065379701538110976,2018-11-21 23:01:29,I go my mammogram done and I don't have any cancer and I pray and hope breast cancer is cured.  #breastcancer,1
31,18,1066822538741906944,2018-11-25 22:34:48,Grabbing life by the horns. 37km and numerous tube trains in 3 days. Take that #breastcancer ! Me and my boy had a fabulous weekend in his new city. Thank you @thomasandrews01 xpic.twitter.com/ASi94AuAxM,1
33,20,1067553409279111040,2018-11-27 22:59:01,"Before we start our Advent Calendar, we have another countdown at our house.  21 rounds of radiation done, 12 more to go! #breastcancer #metastaticbreastcancer #cancersucks #radiationisawful",1
35,30,1073722606170321024,2018-12-14 23:33:12,"Here's @RamseyCountyD2 to my wife regarding @E_J_Piper cancelling her #breastcancer treatment benefits: ""So you now know that up through the end of June 2017 you should have been receiving these benefits, okay. Just so you know. That’s not an issue anymore."" But she DIDN'T get em",0
37,33,1076572036758204032,2018-12-22 20:15:49,It’s an honor to participate in the #PinkPatchProject for those who we serve in our community & sometimes those in our home. @BPDPCGross and I are each the son of a #breastcancer survivor. pic.twitter.com/2N0X1yGay9,0
39,38,1078794852408717056,2018-12-28 23:28:30,"Jo has had a tough 24 hours, poor nights sleep followed by aching back, (chemo side effect) cough and itching. Managed to get her away for a night away as we do but she is exhausted. #cancer #busylivingwithmets #tnbc #mbc #breastcancer",0
41,1985,1079888751067913984,2018-12-31 23:55:16,2018 gave me a breast cancer scare so the only way 2019 could be worse would be getting bad results on the checkups I’m doing at the end of the month,1
44,42,1080961602436952064,2019-01-03 22:58:23,"""Spending my days working to promote #breastcancer research via the #CPeacheyFund is often emotionally exhausting, but I am driven by my friends’ fight against this disease that effects so many of us and the ones that we love."" - Stephanie Lesher #HappyNewYearpic.twitter.com/9mrfTrH9l2",0
46,44,1081668489562242944,2019-01-05 21:47:18,"@SenAmyKlobuchar PRETENDS to care about the impact of the shutdown on Native and other women of color. Like my wife, Amy. And you shut down their #breastcancer care in the middle of their treatment on a government program. Now to me how that's not rationing, shutting them down...",0
48,47,1083496276661075968,2019-01-10 22:50:17,"#TBT me and my mama at one of our first big events. She was gone less than a year later. @meetsupportal is 100% dedicated to her. If you aren’t following us already, please check us out!  #love #breastcancer #mompic.twitter.com/KcDKiIovbF",0
50,61,1089280808244792960,2019-01-26 21:55:57,"Happy Birthday to the amazing @TheEllenShow! After seeing your interview with Maura Tierney about her breast cancer battle, I got my own lump checked. It’s the reason I’m here today! #breastcancer #earlydetection #lifesaver #EllenDeGeneres @EdGlavin @andylassner @MaryConnellypic.twitter.com/CuQ952bKBi",1
52,90,1098358873407324032,2019-02-20 23:08:56,Just signed up for my 5th ultra- 2 more to go for #2019Goals #MTD #ALS12h #BPAC6h #AmysRun #CanLakes50 finishing out my 40s strong  #Rochester #ROC #breastcancer #Survivor #ROSWELL #TNBC #NaFlagvisor #UltraCrazy I  need more @gotailwind & @PlowOn some new shoes @brooksrunningpic.twitter.com/WA1FCgVi5d,0
54,129,1116851575320920064,2019-04-12 23:52:20,“I decided to take part in a clinical trial to leave a legacy for my children and to live to see my grandchildren”-Patient Brigade member and #breastcancer survivor Maxica Williams at the @thisisUIC @RelayForLife event. #uicrelayforlife #clinicaltrials #ThisisUICpic.twitter.com/PEJNP2f1dB – at UIC - Student Recreation Facility,0
56,138,1122282042992004992,2019-04-27 23:31:04,"I had an eye appointment today. One of the ladies there remembered me, or rather my order. We got to talking about #breastcancer and I gave her some much information. She had a lot of good questions. I don't mind answering questions and talking about it when others are learning.",1
58,143,1124453941410972032,2019-05-03 23:21:25,As a gynecologist and a #breastcancer patient my mind is blown by #robot #mastectomy together in same sentence!!! Following for education and self interest.,1
60,151,1127358033259004032,2019-05-11 23:41:15,Good luck to the #moonwalklondon tonight it's hard work but you should be so proud of yourselves... I did the walk a few years back with my daughter. #goodluck #breastcancer #WalkTheWalk,0
62,152,1128433155533229952,2019-05-14 22:53:24,I now have what appears to be a huge cut on the heel of my foot. Except it isn’t. Anyone find anything helpful for hand foot syndrome? #bcsm #chemo #sideeffects #breastcancer,0
64,154,1130236186226765952,2019-05-19 22:18:00,"(1) Just caught up on #TheAllNewMonty (Ladies Night) & couldn't be more proud of all 8 ladies! What an emotional performance. As I was watching it occurred to me that when I watched in 2018, I was unaware that I had #breastcancer. I received my diagnosis in August 2018. Watching",1
66,157,1131333053278765056,2019-05-22 22:56:33,A wonderful tribute  to all those #survivors #breastcancer @SusanGKomen #pinkpower especially my colleague @GerriWillisFBN + @Mitch_Roschelle better 1/2 Debbie Roschelle & many more pic.twitter.com/8ML2YCMPVA – at Cipriani 42nd Street,0
68,179,1142191719863280000,2019-06-21 22:05:01,"Amanda is inspired by the strength her father shows her every day. ""I cherish the time I have with you more than ever and am so grateful for the time I get with you. I know that walking @The3Day with you will be another way we can make a difference in combatting #breastcancer."" pic.twitter.com/ESQ5ahgzSu",0
70,184,1143294773387772032,2019-06-24 23:08:10,"Current state. Stucco remediation thanks to @tollbrothersinc. They do poor work & we take out loans to pay for their mistakes. Will add this to the list of paying for 3 kids, 2 in college, as well as my #breastcancer bills. Thx #TollBrothers for my depressionpic.twitter.com/HNhsmbrIKL",1
72,214,1156694639640006912,2019-07-31 22:34:27,I’ve slowed the pace of life down and its made me prioritize what I spend energy on. #breastcancerfighter #breastcancer #onelife #appreciate #blessed #doingME #workhardplayharder,0
74,223,1161056178962673920,2019-08-12 23:25:39,"#Lupus couldn’t take me down so he called his friend #breastcancer Let me tell you something, you wanna #fight LET’s Effin Go! You got the right one!",1
76,226,1161769760754941952,2019-08-14 22:41:10,"Depends on the value of raising awareness and on what we mean by awareness. Bet most people in Parliament are already “aware” of #breastcancer but bet that even after this event most won’t know what secondary breast cancer is. I felt the same before I had secondary, btw.",0
78,249,1168646051332538112,2019-09-02 22:05:05,"I found my breast lump while crossing my arms and putting my hands under my arms. Felt the 1st of 3 multi-focal tumors in axilla. Please, please do self exams! #breastcancer",1
80,1871,1180219394070401024,2019-10-04 20:33:25,"b""$mrk \n\nwhispers we hear is keytruda slated to be ok'd for pd1- breast cancer. making it one of the only pd1+/pd1- holistic inhibitors  that arent chemo.\n\nyou wont find this info anyplace. let's see""",0
83,283,1180988325513122048,2019-10-06 23:28:53,Early detection saved my life#BreastCancerAwarenessMonth #breastcancer #breastcancersurvivor #DCIS #getyourmamogrampic.twitter.com/g7N8Ylbxbp,1
85,1908,1181518036160963072,2019-10-08 10:33:46,"b""@phrenohead @jackiescoones did you read gloria hunniford's book on her daughter karen keating? karen stopped taking herceptin..cancer drug to prevent breast cancer returning, was exploited by quacks and ended up dying. it was such a tough book to read.""",0
88,1993,1182082355856642048,2019-10-09 23:56:10,As a breast cancer survivor l really like that car . William Bryon is always doing good things .,0
90,288,1182445172220559104,2019-10-10 23:57:52,A great day professionally and an emotional one personally. A fantastic #CoverSummit & #ExcellenceAwards. Best of all - it’s been so lovely to see so many people who’ve been there for me whilst I’ve had to deal with #breastcancer. Thanks to each and every one of you ,1
92,313,1192573276394003968,2019-11-07 22:43:20,Got my referral to another plastics specialist for my new boobies for better consultation and options  #BreastCancerAwareness #breastcancer pic.twitter.com/lo7ZJvFYTw,1
94,318,1193307008482497024,2019-11-09 23:18:56,2 yrs ago during RD1 Taxol #chemo I got an e-mail f/some of the ladies I worked with. One whom went thru #breastcancer in 2015 wrote this to me. It’s humbling to hear what they think of me & how strong they say I am. I hope to make an impact on ppl. I’ve awesome friends. #blessedpic.twitter.com/d04GI7oKng,1
96,319,1193651223733424128,2019-11-10 22:06:43,"As someone who has been through a #breastcancer diagnosis and treatment, I always find the #StandUpToCancer adverts on the TV #emotional. It feels like every one of them is touching me personally and I guess thats because of the massive impact #cancer has had on my life",1
98,1657,1195739143403380992,2019-11-16 16:23:22,b'@miles_commodore i had 3 independent tumors in my breast and post chemo mastectomy. pathology came back as \xe2\x80\x9cpathological complete response\xe2\x80\x9d meaning no living cancer cells. asked my surgeon was it the chemo? her answer: \xe2\x80\x9cno that was the herceptin\xe2\x80\x9d',1
