,Tweet,Treatment
0,"Before we start our Advent Calendar, we have another countdown at our house.  21 rounds of radiation done, 12 more to go! #breastcancer #metastaticbreastcancer #cancersucks #radiationisawful",stearate
1,"Jo has had a tough 24 hours, poor nights sleep followed by aching back, (chemo side effect) cough and itching. Managed to get her away for a night away as we do but she is exhausted. #cancer #busylivingwithmets #tnbc #mbc #breastcancer",chemotherapy
2,"Current state. Stucco remediation thanks to @tollbrothersinc. They do poor work & we take out loans to pay for their mistakes. Will add this to the list of paying for 3 kids, 2 in college, as well as my #breastcancer bills. Thx #TollBrothers for my depressionpic.twitter.com/HNhsmbrIKL",stearate
3,"b""$mrk \n\nwhispers we hear is keytruda slated to be ok'd for pd1- breast cancer. making it one of the only pd1+/pd1- holistic inhibitors  that arent chemo.\n\nyou wont find this info anyplace. let's see""",keytruda
4,"b""$mrk \n\nwhispers we hear is keytruda slated to be ok'd for pd1- breast cancer. making it one of the only pd1+/pd1- holistic inhibitors  that arent chemo.\n\nyou wont find this info anyplace. let's see""",sulfate
5,"b""$mrk \n\nwhispers we hear is keytruda slated to be ok'd for pd1- breast cancer. making it one of the only pd1+/pd1- holistic inhibitors  that arent chemo.\n\nyou wont find this info anyplace. let's see""",chemotherapy
6,"b""@phrenohead @jackiescoones did you read gloria hunniford's book on her daughter karen keating? karen stopped taking herceptin..cancer drug to prevent breast cancer returning, was exploited by quacks and ended up dying. it was such a tough book to read.""",herceptin
7,2 yrs ago during RD1 Taxol #chemo I got an e-mail f/some of the ladies I worked with. One whom went thru #breastcancer in 2015 wrote this to me. It’s humbling to hear what they think of me & how strong they say I am. I hope to make an impact on ppl. I’ve awesome friends. #blessedpic.twitter.com/d04GI7oKng,taxol
8,b'@miles_commodore i had 3 independent tumors in my breast and post chemo mastectomy. pathology came back as \xe2\x80\x9cpathological complete response\xe2\x80\x9d meaning no living cancer cells. asked my surgeon was it the chemo? her answer: \xe2\x80\x9cno that was the herceptin\xe2\x80\x9d',chemotherapy
9,b'@miles_commodore i had 3 independent tumors in my breast and post chemo mastectomy. pathology came back as \xe2\x80\x9cpathological complete response\xe2\x80\x9d meaning no living cancer cells. asked my surgeon was it the chemo? her answer: \xe2\x80\x9cno that was the herceptin\xe2\x80\x9d',chemotherapy
10,b'@miles_commodore i had 3 independent tumors in my breast and post chemo mastectomy. pathology came back as \xe2\x80\x9cpathological complete response\xe2\x80\x9d meaning no living cancer cells. asked my surgeon was it the chemo? her answer: \xe2\x80\x9cno that was the herceptin\xe2\x80\x9d',herceptin
11,"b""tonight's honorary cancer survivor prior to @osumbb is susan coltharp. sangre ridge 3rd grade teacher. diagnosed july 2019. breast cancer. finishes chemo tomorrow!  followed by 16 radiation treatments. she is grateful for the support and prayers of family and friends. #survivor""",chemotherapy
12,"b""tonight's honorary cancer survivor prior to @osumbb is susan coltharp. sangre ridge 3rd grade teacher. diagnosed july 2019. breast cancer. finishes chemo tomorrow!  followed by 16 radiation treatments. she is grateful for the support and prayers of family and friends. #survivor""",radiation_treatments
